branchrule,cpu_process_time,difficulty_score,dualbound,error_message,file,gap,nlps,nnodes,nsols,obj,path,profile_class,solving_time,status,wall_time
BaselinePseudoCostBranchrule,0.018825925999991,4.273677495207086,48.0,,test_200r_1600c_0.25d_instance_227.mps,0.0,11,1,15,48.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_1600c_0.25d_instance_227.mps,easy,0.018809,optimal,0.01882648468017578
BaselinePseudoCostBranchrule,0.06537054599999692,12.324169334147028,67.0,,test_200r_1600c_0.25d_instance_367.mps,0.0,53,25,46,67.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_1600c_0.25d_instance_367.mps,medium,0.065362,optimal,0.06539392471313477
BaselinePseudoCostBranchrule,0.04576547499999606,11.207044010085808,400.0,,test_200r_3200c_0.05d_instance_491.mps,0.0,35,19,31,400.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_3200c_0.05d_instance_491.mps,medium,0.045746999999999996,optimal,0.045772552490234375
BaselinePseudoCostBranchrule,0.10342017399999293,14.47302563288933,43.0,,test_200r_3200c_0.25d_instance_359.mps,0.0,89,47,76,43.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_3200c_0.25d_instance_359.mps,medium,0.103409,optimal,0.10344338417053223
BaselinePseudoCostBranchrule,0.07506164500000523,11.895909509544687,41.0,,test_200r_3200c_0.25d_instance_364.mps,0.0,51,21,45,41.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_3200c_0.25d_instance_364.mps,medium,0.07503499999999999,optimal,0.07506966590881348
BaselinePseudoCostBranchrule,0.04854353900000774,12.038522954937664,25.0,,test_200r_3200c_0.25d_instance_438.mps,0.0,51,23,42,25.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_3200c_0.25d_instance_438.mps,medium,0.048521999999999996,optimal,0.048549652099609375
BaselinePseudoCostBranchrule,0.0003454179999948792,2.427007967654564,31565.0,,test_200r_400c_0.01d_instance_49.mps,0.0,1,1,3,31565.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_400c_0.01d_instance_49.mps,too_easy,0.00033099999999999997,optimal,0.0003407001495361328
BaselinePseudoCostBranchrule,0.06194340400000442,15.21219224331105,3932.0,,test_200r_400c_0.05d_instance_193.mps,0.0,102,63,89,3932.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_400c_0.05d_instance_193.mps,medium,0.061926999999999996,optimal,0.061954498291015625
BaselinePseudoCostBranchrule,0.00041958699999611326,2.4272298859887185,2455.0,,test_200r_6400c_0.01d_instance_386.mps,0.0,1,1,3,2455.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_6400c_0.01d_instance_386.mps,too_easy,0.000405,optimal,0.00041604042053222656
BaselinePseudoCostBranchrule,0.08342711199999542,15.033082105216568,202.0,,test_200r_6400c_0.05d_instance_31.mps,0.0,123,53,100,202.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_200r_6400c_0.05d_instance_31.mps,medium,0.08341,optimal,0.08344101905822754
